Z-35b,Z-35a,Z-34b,Z-34a,Z-33b,Z-33a,,,,,,,,,,,,,,,,,,,Z-32b,Z-32a,Z-31b,Z-31a,Z-30b,Z-30a,Z-29b,Z-29a,,Z-28b,Z-28a,Z-27b,Z-27a,Z-26b,Z-26a,Z-25b,Z-25a,,,,,,,,Z-24b,Z-24a,Z-23b,Z-23a,Z-22b,Z-22a,Z-21b,Z-21a,Z-20b,Z-20a,Z-19b,Z-19a,,,,,Z-18b,Z-18a,Z-17b,Z-17a,Z-16b,Z-16a,Z-15b,Z-15a,Z-14b,Z-14a,Z-13b,Z-13a,,,,,Z-12b,Z-12a,Z-11b,Z-11a,Z-10b,Z-10a,Z-09b,Z-09a,Z-08b,Z-08a,Z-07b,Z-07a,,,,,,Z-06b,Z-06a,Z-05b,Z-05a,Z-04b,Z-04a,Z-03b,Z-03a,Z-02b,Z-02a,Z-01b,Z-01a,,,,,,,,,,,,,AA-20,AA-19,AA-18,AA-17,,AA-16,AA-15,,,,AA-14,AA-13,AA-12,AA-11,
,,,,R-38b,R-38a,R-23b,R-23a,,,Q-38b,Q-38a,Q-23b,Q-23a,,,P-38b,P-38a,P-23b,P-23a,,,,,O-38b,O-38a,O-23b,O-23a,,,N-38b,N-38a,N-23b,N-23a,,,M-38b,M-38a,M-23b,M-23a,,,L-38b,L-38a,L-23b,L-23a,,,K-38b,K-38a,K-23b,K-23a,,,J-38b,J-38a,J-23b,J-23a,,,I-38b,I-38a,I-23b,I-23a,,,,,H-38b,H-38a,H-23b,H-23a,,,G-38b,G-38a,G-23b,G-23a,,,F-38b,F-38a,F-23b,F-23a,,,E-38b,E-38a,E-23b,E-23a,,,D-38b,D-38a,D-23b,D-23a,,,C-38b,C-38a,C-23b,C-23a,,,B-38b,B-38a,B-23b,B-23a,,,,,,,AF-33,AF-20,#4,#4,AE-33,AE-20,#4,#4,AD-33,AD-20,#4,#4,AC-33,AC-20,#4,#4,AB-33,AB-20,,,,
,,,,,R-39a,R-22a,#4,#4,#4,#4,Q-39a,Q-22a,#4,#4,#4,#4,P-39a,P-22a,#2,#2,#2,#2,#2,#2,O-39a,O-22a,#4,#4,#4,#4,N-39a,N-22a,#4,#4,#4,#4,M-39a,M-22a,#4,#4,#4,#4,L-39a,L-22a,#4,#4,#4,#4,K-39a,K-22a,#4,#4,#4,#4,J-39a,J-22a,#4,#4,#4,#4,I-39a,I-22a,#2,#2,#2,#2,#2,#2,H-39a,H-22a,#4,#4,#4,#4,G-39a,G-22a,#4,#4,#4,#4,F-39a,F-22a,#4,#4,#4,#4,E-39a,E-22a,#4,#4,#4,#4,D-39a,D-22a,#4,#4,#4,#4,C-39a,C-22a,#4,#4,#4,#4,B-39a,B-22a,,,,,,,,AF-33,AF-20,#4,#4,AE-33,AE-20,#4,#4,AD-33,AD-20,#4,#4,AC-33,AC-20,#4,#4,AB-33,AB-20,,,,
,,,,,R-39b,R-22b,#4,#4,#4,#4,Q-39b,Q-22b,#4,#4,#4,#4,P-39b,P-22b,#2,#2,#2,#2,#2,#2,O-39b,O-22b,#4,#4,#4,#4,N-39b,N-22b,#4,#4,#4,#4,M-39b,M-22b,#4,#4,#4,#4,L-39b,L-22b,#4,#4,#4,#4,K-39b,K-22b,#4,#4,#4,#4,J-39b,J-22b,#4,#4,#4,#4,I-39b,I-22b,#2,#2,#2,#2,#2,#2,H-39b,H-22b,#4,#4,#4,#4,G-39b,G-22b,#4,#4,#4,#4,F-39b,F-22b,#4,#4,#4,#4,E-39b,E-22b,#4,#4,#4,#4,D-39b,D-22b,#4,#4,#4,#4,C-39b,C-22b,#4,#4,#4,#4,B-39b,B-22b,,,,,,,,AF-34,AF-19,#4,#4,AE-34,AE-19,#4,#4,AD-34,AD-19,#4,#4,AC-34,AC-19,#4,#4,AB-34,AB-19,,,,
,,,,,R-40a,R-21a,#4,#4,#4,#4,Q-40a,Q-21a,#4,#4,#4,#4,P-40a,P-21a,#2,#2,#2,#2,#2,#2,O-40a,O-21a,#4,#4,#4,#4,N-40a,N-21a,#4,#4,#4,#4,M-40a,M-21a,#4,#4,#4,#4,L-40a,L-21a,#4,#4,#4,#4,K-40a,K-21a,#4,#4,#4,#4,J-40a,J-21a,#4,#4,#4,#4,I-40a,I-21a,#2,#2,#2,#2,#2,#2,H-40a,H-21a,#4,#4,#4,#4,G-40a,G-21a,#4,#4,#4,#4,F-40a,F-21a,#4,#4,#4,#4,E-40a,E-21a,#4,#4,#4,#4,D-40a,D-21a,#4,#4,#4,#4,C-40a,C-21a,#4,#4,#4,#4,B-40a,B-21a,,,,,,,,AF-34,AF-19,#4,#4,AE-34,AE-19,#4,#4,AD-34,AD-19,#4,#4,AC-34,AC-19,#4,#4,AB-34,AB-19,,,,
,,,,,R-40b,R-21b,#4,#4,#4,#4,Q-40b,Q-21b,#4,#4,#4,#4,P-40b,P-21b,#2,#2,#2,#2,#2,#2,O-40b,O-21b,#4,#4,#4,#4,N-40b,N-21b,#4,#4,#4,#4,M-40b,M-21b,#4,#4,#4,#4,L-40b,L-21b,#4,#4,#4,#4,K-40b,K-21b,#4,#4,#4,#4,J-40b,J-21b,#4,#4,#4,#4,I-40b,I-21b,#2,#2,#2,#2,#2,#2,H-40b,H-21b,#4,#4,#4,#4,G-40b,G-21b,#4,#4,#4,#4,F-40b,F-21b,#4,#4,#4,#4,E-40b,E-21b,#4,#4,#4,#4,D-40b,D-21b,#4,#4,#4,#4,C-40b,C-21b,#4,#4,#4,#4,B-40b,B-21b,,,,,,,,AF-35,AF-18,#4,#4,AE-35,AE-18,#4,#4,AD-35,AD-18,#4,#4,AC-35,AC-18,#4,#4,AB-35,AB-18,,,,
,,,,,R-41a,R-20a,#4,#4,#4,#4,Q-41a,Q-20a,#4,#4,#4,#4,P-41a,P-20a,#2,#2,#2,#2,#2,#2,O-41a,O-20a,#4,#4,#4,#4,N-41a,N-20a,#4,#4,#4,#4,M-41a,M-20a,#4,#4,#4,#4,L-41a,L-20a,#4,#4,#4,#4,K-41a,K-20a,#4,#4,#4,#4,J-41a,J-20a,#4,#4,#4,#4,I-41a,I-20a,#2,#2,#2,#2,#2,#2,H-41a,H-20a,#4,#4,#4,#4,G-41a,G-20a,#4,#4,#4,#4,F-41a,F-20a,#4,#4,#4,#4,E-41a,E-20a,#4,#4,#4,#4,D-41a,D-20a,#4,#4,#4,#4,C-41a,C-20a,#4,#4,#4,#4,B-41a,B-20a,,,,,,,,AF-35,AF-18,#4,#4,AE-35,AE-18,#4,#4,AD-35,AD-18,#4,#4,AC-35,AC-18,#4,#4,AB-35,AB-18,,,,
,,,,,R-41b,R-20b,#4,#4,#4,#4,Q-41b,Q-20b,#4,#4,#4,#4,P-41b,P-20b,#2,#2,#2,#2,#2,#2,O-41b,O-20b,#4,#4,#4,#4,N-41b,N-20b,#4,#4,#4,#4,M-41b,M-20b,#4,#4,#4,#4,L-41b,L-20b,#4,#4,#4,#4,K-41b,K-20b,#4,#4,#4,#4,J-41b,J-20b,#4,#4,#4,#4,I-41b,I-20b,#2,#2,#2,#2,#2,#2,H-41b,H-20b,#4,#4,#4,#4,G-41b,G-20b,#4,#4,#4,#4,F-41b,F-20b,#4,#4,#4,#4,E-41b,E-20b,#4,#4,#4,#4,D-41b,D-20b,#4,#4,#4,#4,C-41b,C-20b,#4,#4,#4,#4,B-41b,B-20b,,,,,,,,AF-36,AF-17,#4,#4,AE-36,AE-17,#4,#4,AD-36,AD-17,#4,#4,AC-36,AC-17,#4,#4,AB-36,AB-17,,,,
,,,,,R-42a,R-19a,#4,#4,#4,#4,Q-42a,Q-19a,#4,#4,#4,#4,P-42a,P-19a,#2,#2,#2,#2,#2,#2,O-42a,O-19a,#4,#4,#4,#4,N-42a,N-19a,#4,#4,#4,#4,M-42a,M-19a,#4,#4,#4,#4,L-42a,L-19a,#4,#4,#4,#4,K-42a,K-19a,#4,#4,#4,#4,J-42a,J-19a,#4,#4,#4,#4,I-42a,I-19a,#2,#2,#2,#2,#2,#2,H-42a,H-19a,#4,#4,#4,#4,G-42a,G-19a,#4,#4,#4,#4,F-42a,F-19a,#4,#4,#4,#4,E-42a,E-19a,#4,#4,#4,#4,D-42a,D-19a,#4,#4,#4,#4,C-42a,C-19a,#4,#4,#4,#4,B-42a,B-19a,,,,,,,,AF-36,AF-17,#4,#4,AE-36,AE-17,#4,#4,AD-36,AD-17,#4,#4,AC-36,AC-17,#4,#4,AB-36,AB-17,,,,
,,,,,R-42b,R-19b,#4,#4,#4,#4,Q-42b,Q-19b,#4,#4,#4,#4,P-42b,P-19b,#2,#2,#2,#2,#2,#2,O-42b,O-19b,#4,#4,#4,#4,N-42b,N-19b,#4,#4,#4,#4,M-42b,M-19b,#4,#4,#4,#4,L-42b,L-19b,#4,#4,#4,#4,K-42b,K-19b,#4,#4,#4,#4,J-42b,J-19b,#4,#4,#4,#4,I-42b,I-19b,#2,#2,#2,#2,#2,#2,H-42b,H-19b,#4,#4,#4,#4,G-42b,G-19b,#4,#4,#4,#4,F-42b,F-19b,#4,#4,#4,#4,E-42b,E-19b,#4,#4,#4,#4,D-42b,D-19b,#4,#4,#4,#4,C-42b,C-19b,#4,#4,#4,#4,B-42b,B-19b,,,,,,,,AF-37,AF-16,#4,#4,AE-37,AE-16,#4,#4,AD-37,AD-16,#4,#4,AC-37,AC-16,#4,#4,AB-37,AB-16,,,,
,,,,,R-43a,R-18a,#4,#4,#4,#4,Q-43a,Q-18a,#4,#4,#4,#4,P-43a,P-18a,#2,#2,#2,#2,#2,#2,O-43a,O-18a,#4,#4,#4,#4,N-43a,N-18a,#4,#4,#4,#4,M-43a,M-18a,#4,#4,#4,#4,L-43a,L-18a,#4,#4,#4,#4,K-43a,K-18a,#4,#4,#4,#4,J-43a,J-18a,#4,#4,#4,#4,I-43a,I-18a,#2,#2,#2,#2,#2,#2,H-43a,H-18a,#4,#4,#4,#4,G-43a,G-18a,#4,#4,#4,#4,F-43a,F-18a,#4,#4,#4,#4,E-43a,E-18a,#4,#4,#4,#4,D-43a,D-18a,#4,#4,#4,#4,C-43a,C-18a,#4,#4,#4,#4,B-43a,B-18a,,,,,,,,AF-37,AF-16,#4,#4,AE-37,AE-16,#4,#4,AD-37,AD-16,#4,#4,AC-37,AC-16,#4,#4,AB-37,AB-16,,,,
